the_geom,OBJECTID,Borough,Block,Lot,DESIG_ADDRESS,BBL,LM_NAME,LP_NUMBER,SITE_DESC,SITE_STATUS,LM_NAME2,DESIG_DATE,LM_TYPE,REPORT_URL,CD,Council,Latitude,Longitude,BCT2020,NTA2020,Shape_Leng,Shape_Area,neighborhood,wiki_title,wiki_url,confidence,pageviews,score,category
"POLYGON ((946790.1972831786 144992.8481876701, 946780.64448075 144998.81602349877, 946469.8855878413 145192.9583517611, 946428.2718259245 145144.06442067027, 946412.0654935092 145125.02312016487, 946395.9142790884 145106.046780169, 946379.707946673 145087.00580775738, 946363.6210365891 145068.1045988351, 946347.4150322527 145049.0632983446, 946331.2431485951 145030.06235209107, 946315.0368161798 145011.02105158567, 946299.0155227631 144992.19727033377, 946282.8095184267 144973.15596984327, 946266.8177525103 144954.366965428, 946250.6117481738 144935.32533684373, 946233.253515169 144914.9310206771, 946217.0475108474 144895.8897201717, 946203.9661721736 144880.52032834291, 946190.3533385098 144864.52593775094, 946176.9488377571 144848.77662542462, 946163.3353479207 144832.78190675378, 946150.1385239214 144817.27636033297, 946139.4961567521 144804.77212025225, 947071.9687012583 143989.1494076699, 947094.1947066784 144014.22514492273, 947103.2025626749 144024.7621973455, 947112.0913244188 144035.1525965035, 947120.2245102525 144045.49279892445, 947128.4725252539 144055.97834225, 947136.5194251686 144066.2076525092, 947142.2746630013 144074.72633625567, 947146.347489506 144080.75716409087, 947150.5157882571 144088.12329109013, 947154.523982346 144095.89820992947, 947162.1591376811 144111.94410958886, 947167.7851106673 144127.3256404996, 947173.5987473428 144144.5355798453, 947177.6584505141 144157.46632824838, 947182.1171030104 144171.6690557599, 947186.4884853363 144185.5971775055, 947190.0248955935 144200.07811966538, 947193.6269225031 144214.84022925794, 947197.2397761792 144229.64991092682, 947201.7223787606 144247.27093867958, 947206.1905456781 144264.85161216557, 947210.6593687534 144282.43556649983, 947215.1728111804 144300.17765700817, 947219.2689315975 144314.0762512535, 947223.3184641749 144327.81867784262, 947227.416553095 144341.71333508193, 947230.3341981769 144350.41869825125, 947232.0294047594 144355.47249391675, 947236.732151255 144369.50199341774, 947243.5461140126 144384.64467966557, 947250.2278591692 144399.4848730862, 947255.3502242565 144410.13052108884, 947256.1215481758 144411.72566226125, 947261.9574945122 144423.85063800216, 947267.8921939284 144436.18033775687, 947274.3682308346 144448.11436900496, 947280.7392810881 144459.85647150874, 947287.223848179 144471.80329801142, 947376.4159270078 144626.61663667858, 946790.1972831786 144992.8481876701))",1534,SI,4475,300,3201 Amboy Road,5044750300,Frederick Douglass Memorial Park,LP-02682,"Borough of Staten Island Tax Map Block 4475, Lot 300",Designated,,6/18/2024,Individual Landmark,,503.0,50.0,40.5635644,-74.1348434,5014606.0,SI0302,3531.70442668157,692508.0574754984,Great Kills-Eltingville,Frederick Douglass Memorial Park,https://en.wikipedia.org/wiki/Frederick_Douglass_Memorial_Park,high,1098.0,100.0,Park
"POLYGON ((987507.5167670101 191782.7746207565, 987407.9037772566 191787.4238896668, 987401.7351544201 191625.58431833982, 987408.2600757629 191625.22539517283, 987404.2351494282 191519.7439788431, 987497.5692803413 191514.61373975873, 987507.5167670101 191782.7746207565))",1533,BK,140,7503,"345 Adams Street (aka 372-392 Pearl Street, 11-17 Willoughby Street)",3001407503,Brooklyn Edison Building,LP-02680,"Borough of Brooklyn Tax Map Block 150, Lot 7503 (previously lot 123)",Designated,,6/18/2024,Individual Landmark,,302.0,33.0,40.6927194,-73.9884462,3001100.0,BK0202,735.59182299589,26064.41654039549,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn Friends School,https://en.wikipedia.org/wiki/Brooklyn_Friends_School,medium,8313.0,59.57446808510638,Residential Building
"POLYGON ((991253.4758105129 217314.6851710081, 991199.8637130111 217217.65780600905, 991233.7324116677 217198.88192492723, 991346.1770686805 217136.54543542862, 991399.7888380885 217233.57378467917, 991253.4758105129 217314.6851710081))",1532,MN,1272,7503,"730 Fifth Avenue (aka 728-734 Fifth Avenue, 2-4 West 57th Street)",1012727503,Heckscher Building (now the Crown Building),LP-02678,"Borough of Manhattan Tax Map Block 1272, Lot 7503",Designated,,5/14/2024,Individual Landmark,,105.0,4.0,40.7628622,-73.9747238,1011201.0,MN0502,556.29275707478,18545.01594744515,Midtown-Times Square,Crown Building (Manhattan),https://en.wikipedia.org/wiki/Crown_Building_(Manhattan),medium,32638.0,52.17391304347826,Government Building
"POLYGON ((1012326.2542029172 247508.38626642525, 1012391.5349122584 247480.74852642417, 1012422.9439701736 247555.020687595, 1012357.762342006 247582.89202292264, 1012326.2542029172 247508.38626642525))",1531,BX,2918,1,1866 Washington Avenue,2029180001,"New York Public Library, Tremont Branch",LP-02677,"Borough of the Bronx Tax Map Block 2918, Lot 1",Designated,,3/5/2024,Individual Landmark,,206.0,15.0,40.8460457,-73.8983494,2039500.0,BX0602,303.31526480243,5725.59758416296,Tremont,List of New York Public Library branches,https://en.wikipedia.org/wiki/List_of_New_York_Public_Library_branches,low,5352.0,58.22784810126582,Library
"POLYGON ((993807.3762145042 216119.4434670061, 993825.0274259299 216109.67380151153, 993874.2090860903 216199.13261209428, 993856.5578746796 216208.9016214162, 993807.3762145042 216119.4434670061))",1530,MN,1331,128,246 East 58th Street,1013310128,Modulightor Building,LP-02676,"Borough of Manhattan Tax Map Block 1331, Lot 128",Designated,,12/19/2023,Individual Landmark,,106.0,4.0,40.7599778,-73.965383,1010803.0,MN0604,244.52176323087,2059.52282017461,East Midtown-Turtle Bay,Modulightor Building,https://en.wikipedia.org/wiki/Modulightor_Building,high,3144.0,100.0,Government Building
"POLYGON ((1002025.7442921698 218350.15914991498, 1002149.9231776744 218292.0444367528, 1002209.0227970034 218417.49726983905, 1002120.1423973441 218481.8780465871, 1002025.7442921698 218350.15914991498))",1529,QN,522,29,12-12 33rd Avenue,4005220029,"Barkin, Levin & Company Office Pavilion",LP-02675,"Borough of Queens Tax Map Block 522, Lot 29 in part",Designated,,12/19/2023,Individual Landmark,,401.0,22.0,40.7656219,-73.9356625,4004500.0,QN0105,547.58128247108,18398.90096745404,Queensbridge-Ravenswood-Dutch Kills,Ulrich Franzen,https://en.wikipedia.org/wiki/Ulrich_Franzen,low,2085.0,30.188679245283023,Commercial Building
"POLYGON ((1016524.6654255092 234583.98954309523, 1016574.6371103376 234339.0887861699, 1017067.8175544292 234437.93373283744, 1016894.379253 234658.8571754992, 1016524.6654255092 234583.98954309523))",1528,BX,2772,170,"Oak Point Avenue, Drake Park South, Longfellow Avenue, and Hunts Point Avenue",1027720170,Joseph Rodman Drake Park and Enslaved People's Burial Ground,LP-02674,"Borough of the Bronx, Tax Map Block 2772, Lot 170.",Designated,,12/12/2023,Individual Landmark,,202.0,17.0,40.8102615,-73.8825311,2009302.0,BX0201,1411.02361180015,110191.53957282186,Hunts Point,African Burial Ground National Monument,https://en.wikipedia.org/wiki/African_Burial_Ground_National_Monument,low,23899.0,44.44444444444444,Park
"POLYGON ((997380.0475468338 232514.38475842774, 997385.7125617564 232387.49590459466, 997438.1284674257 232357.64786717296, 997491.6838065088 232453.07549783587, 997380.0475468338 232514.38475842774))",1527,MN,1923,38,"206 West 118th Street (aka 150-158 St. Nicholas Avenue, 206-212 West 118th Street)",1019230038,Hotel Cecil & Minton's Playhouse Building,LP-02671,"Borough of Manhattan Tax Map Block 1923, Lot 38",Designated,,6/27/2023,Individual Landmark,,110.0,9.0,40.8046437,-73.9524103,1021800.0,MN1001,424.12596261447,10209.2633061937,Harlem (South),Minton's Playhouse,https://en.wikipedia.org/wiki/Minton%27s_Playhouse,medium,16616.0,61.01694915254237,Residential Building
"POLYGON ((1000430.3455800861 242612.60832834244, 1000379.6425975114 242521.38213284314, 1000533.4018044174 242435.2783024162, 1000558.9381706715 242540.59764559567, 1000430.3455800861 242612.60832834244))",1526,MN,2107,72,"935 St. Nicholas Avenue (aka 929-939 St. Nicholas Avenue, 426-466 West 157th Street)",1021070072,935 St. Nicholas Avenue Building,LP-02670,"Borough of Manhattan Tax Map Block 2107, Lot 72",Designated,,6/27/2023,Individual Landmark,,112.0,10.0,40.8323383,-73.9413689,1023900.0,MN1201,536.3494985542,16887.38341489799,Washington Heights (South),Scribner Building,https://en.wikipedia.org/wiki/Scribner_Building,low,2805.0,40.81632653061224,Residential Building
"POLYGON ((1022393.3377432525 214086.79267667234, 1022407.2041853368 213987.85225775838, 1022428.0758627504 213995.13800433278, 1022414.787175417 214089.81662075222, 1022393.3377432525 214086.79267667234))",1525,QN,1747,51,105-19 37th Avenue (aka 34-68 106th Street),4017470051,"John Birks ""Dizzy"" Gillespie Residence",LP-02657,"Borough of Queens Tax Map Block 1747, Lot 51",Designated,,6/27/2023,Individual Landmark,,403.0,21.0,40.7540817,-73.862266,4037900.0,QN0303,239.28232629478,2118.53334867701,North Corona,List of New York City Designated Landmarks in Queens,https://en.wikipedia.org/wiki/List_of_New_York_City_Designated_Landmarks_in_Queens,low,3487.0,35.55555555555555,Park
"POLYGON ((1015249.5646292567 249713.1604001671, 1015231.6913054287 249666.03549441695, 1015325.8262877613 249630.0109601766, 1015343.6900971681 249677.13947483897, 1015249.5646292567 249713.1604001671))",1524,BX,3086,38,2225 Belmont Avenue,2030860038,"Firehouse, Engine Company 88 / Ladder Company 38",LP-02669,"Borough of The Bronx Tax Map Block 3086, Lot 38",Designated,,6/13/2023,Individual Landmark,,206.0,15.0,40.8519096,-73.8878109,2039100.0,BX0603,302.3762025323,5079.72238786367,Belmont,Los Angeles Fire Department,https://en.wikipedia.org/wiki/Los_Angeles_Fire_Department,low,67265.0,32.0,Fire Station
"POLYGON ((1007466.9614280909 236312.5146293342, 1007435.0408882499 236254.9287865013, 1007521.0229997635 236217.39047574997, 1007544.1502500921 236269.2486397624, 1007466.9614280909 236312.5146293342))",1523,BX,2293,46,436-442 East 149th Street,2022930046,Bronx Opera House,LP-02667,"Borough of The Bronx Tax Map Block 2293, Lot 46 in part",Designated,,6/13/2023,Individual Landmark,,201.0,17.0,40.8149404,-73.9161497,2004300.0,BX0101,304.92945772166,5576.54473338968,Mott Haven-Port Morris,Bronx Opera House,https://en.wikipedia.org/wiki/Bronx_Opera_House,high,2125.0,100.0,Residential Building
"POLYGON ((1018803.8567332625 246018.97848409414, 1018873.9222099185 245987.4877334237, 1018901.0261583477 246045.12377300858, 1018885.602632761 246052.3704776764, 1018911.2262691706 246106.90514551103, 1018888.6728365868 246117.50223717093, 1018894.6767615974 246130.28075492382, 1018875.858229667 246139.1229288429, 1018867.5928262621 246121.53175666928, 1018871.4140128344 246119.73615658283, 1018848.051854834 246070.01414316893, 1018831.5161267519 246077.78348459303, 1018803.8567332625 246018.97848409414))",1522,BX,4333,1,1129 East 180th Street,2043330001,"Fire Alarm Telegraph Bureau, Bronx Central Office",LP-02668,"Borough of The Bronx Tax Map Block 4333, Lot 1 in part",Designated,,6/13/2023,Individual Landmark,,227.0,15.0,40.8495632,-73.8722614,2033400.0,BX2791,439.48383130789,7757.2874792256,Bronx Park,New York City Fire Department,https://en.wikipedia.org/wiki/New_York_City_Fire_Department,low,209221.0,38.46153846153846,Fire Station
"POLYGON ((985081.2230631709 208818.6490135044, 985035.4239421785 208736.0432075858, 985057.7585431784 208723.7377860099, 985103.5179660916 208806.27206975222, 985081.2230631709 208818.6490135044))",1521,MN,792,53,128 West 17th Street,1007920053,(Former) Colored School No. 4,LP-02659,"Borough of Manhattan Tax Map Block 792, Lot 53",Designated,,5/23/2023,Individual Landmark,,104.0,3.0,40.7397047,-73.9970446,1008100.0,MN0401,239.82342163486,2407.50042714144,Chelsea-Hudson Yards,Simmons Colored School,https://en.wikipedia.org/wiki/Simmons_Colored_School,low,730.0,54.90196078431373,School
"POLYGON ((983841.2409630865 206889.70930184424, 983836.9299480915 206908.77750517428, 983759.5068745911 206893.86513341963, 983763.8178895861 206874.79660201073, 983841.2409630865 206889.70930184424))",1520,MN,611,30,155-159 West 10th Street (aka 186-188 Waverly Place),1006110030,Julius' Bar Building,LP-02663,"Borough of Manhattan, Tax Map Block 611, Lot 30",Designated,,12/6/2022,Individual Landmark,,102.0,3.0,40.7345446,-74.0016237,1007300.0,MN0203,196.79154035715,1540.61977380067,West Village,Julius (restaurant),https://en.wikipedia.org/wiki/Julius_(restaurant),medium,5456.0,51.28205128205128,Commercial Building
"POLYGON ((1009779.1424992532 234774.79526384175, 1009695.0855807513 234463.8985759169, 1009890.9582205117 234410.7694170922, 1009975.5210435092 234722.44858375192, 1009913.7888835073 234738.97873441875, 1009835.8395643383 234760.03249809146, 1009779.1424992532 234774.79526384175))",1519,BX,2576,25,455 Southern Boulevard (aka 462 Wales Avenue),2025760026,Samuel Gompers Industrial High School,LP-02666,"Borough of the Bronx Tax Map Block 2576, Lot 26.",Designated,,12/6/2022,Individual Landmark,,201.0,8.0,40.8106713,-73.9075321,2003500.0,BX0101,1051.19379689067,65526.6723799467,Mott Haven-Port Morris,Samuel Gompers High School,https://en.wikipedia.org/wiki/Samuel_Gompers_High_School,medium,4600.0,82.53968253968253,School
"POLYGON ((989712.3342077583 180451.2362602502, 989657.5203410089 180364.76530459523, 989674.5511468351 180353.9549587518, 989729.3673101664 180440.4295233339, 989712.3342077583 180451.2362602502))",1518,BK,1103,31,484 14th Street,3011030031,The Lesbian Herstory Archives,LP-02662,"Borough of Brooklyn Tax Map Block 1103, Lot 31.",Designated,,11/22/2022,Individual Landmark,,306.0,39.0,40.6618368,-73.9803813,3016700.0,BK0602,245.10958835031,2065.27044102134,Park Slope,Lesbian Herstory Archives,https://en.wikipedia.org/wiki/Lesbian_Herstory_Archives,high,3986.0,92.5925925925926,Library
"POLYGON ((984752.6413712502 199210.97826825082, 984753.7187969238 199208.8519601673, 984786.1865797639 199225.2984495908, 984785.1091540903 199227.4250857532, 984752.6413712502 199210.97826825082))",1517,MN,117,100,Chatham Square and East Broadway,1001170100,Kimlau War Memorial,LP-02653,"Borough of Manhattan, Tax Map Block 117, Lot 100 in part",Designated,,6/22/2021,Individual Landmark,,103.0,1.0,40.7135143,-73.9981279,1002700.0,MN0301,77.55916005056,86.76188178994,Chinatown-Two Bridges,Benjamin Ralph Kimlau,https://en.wikipedia.org/wiki/Benjamin_Ralph_Kimlau,low,1258.0,44.99999999999999,Museum
"POLYGON ((914188.2788913399 122527.08504842222, 913512.8212527633 122279.46218408644, 913581.8437525034 122188.09753742814, 913604.8722497523 122151.53560267389, 913628.0126234293 122082.91238033772, 913670.7412125021 121979.24198400974, 913689.7457676679 121929.09477458894, 913711.1902785897 121872.50991401076, 913743.7463158369 121730.63519775867, 913776.2866050899 121593.34085291624, 913813.1674368382 121524.76553075016, 913854.676540181 121442.46517042816, 913937.4555740952 121346.56805250049, 913997.1096542627 121314.7141135931, 914075.212516427 121246.28216384351, 914103.299730584 121230.68869109452, 914143.9636912644 121232.78120659292, 914194.5374090075 121177.99424266815, 914240.4352830946 121150.67244692147, 914286.1573045105 121173.73309634626, 914316.8783716708 121181.2193018347, 914345.2214908451 121153.07303267717, 914498.6696747541 121247.7575545907, 914890.6278803349 121343.27278350294, 914832.5965003371 121598.90941134095, 914795.6428340971 121739.262477085, 914741.4116433412 121835.4702899158, 914549.0468705893 122101.55801233649, 914454.4935820103 122217.34682275355, 914347.7628243417 122365.9236253351, 914314.6506858468 122341.69073417783, 914221.5868955851 122452.14950275421, 914211.5921649188 122473.64388233423, 914197.3208680004 122506.59919700027, 914188.2788913399 122527.08504842222))",1516,SI,7857,1,"Conference House Park, 258 Satterlee Street (aka 298-300 Satterlee Street)",5078570001,Aakawaxung Munahanung (Island Protected from the Wind) Archaeological Site,LP-02648,"Borough of Staten Island, Tax Map Block 7857, Lot 1 in part",Designated,,6/22/2021,Individual Landmark,,503.0,51.0,40.5027368,-74.2519122,5024402.0,SI0305,4283.965349356,1120524.9316764183,,List of New York City Designated Landmarks in Staten Island,https://en.wikipedia.org/wiki/List_of_New_York_City_Designated_Landmarks_in_Staten_Island,low,1791.0,33.08270676691729,Museum
"POLYGON ((999905.3361314237 232973.05444476008, 999945.8675464243 232950.53053967655, 999995.7713180035 233040.61959834397, 999955.2402310967 233063.1435034275, 999905.3361314237 232973.05444476008))",1515,MN,1722,30,9 West 124th Street,1017220030,"New York Public Library, Harlem Branch",LP-02652,"Borough of Manhattan, Tax Map Block 1733, Lot 30",Designated,,6/15/2021,Individual Landmark,,110.0,9.0,40.8062095,-73.9432884,1020000.0,MN1001,298.71368372665,4775.45375436787,Harlem (South),New York Public Library Main Branch,https://en.wikipedia.org/wiki/New_York_Public_Library_Main_Branch,low,78612.0,82.1917808219178,Library
"POLYGON ((1001361.6058566719 248681.26548233628, 1001386.3449804187 248782.25248508155, 1001332.221401006 248796.13565942645, 1001222.1848756671 248824.3606685847, 1001192.6216145903 248724.6942012608, 1001361.6058566719 248681.26548233628))",1514,MN,2176,30,715 West 179th Street (aka 715-721 West 179th Street; 426-434 Fort Washington Avenue),1021760030,Holyrood Episcopal Church-Iglesia Santa Cruz,LP-02649,"Borough of Manhattan, Tax Map Block 2176, Lot 30",Designated,,5/18/2021,Individual Landmark,,112.0,10.0,40.8494253,-73.938408,1026500.0,MN1202,551.88184769095,17872.86562505715,Washington Heights (North),Holyrood Episcopal Church,https://en.wikipedia.org/wiki/Holyrood_Episcopal_Church,medium,706.0,72.46376811594203,Religious Site
"POLYGON ((985816.3574196696 207144.83772858977, 985829.7113955915 207169.30848017335, 985651.1891148388 207268.06648474932, 985610.1281733364 207192.8248373419, 985631.1297717541 207188.74085600674, 985617.9359005094 207164.56406709552, 985637.8784459233 207153.53160883486, 985660.6444765031 207140.93747392297, 985673.5686632544 207162.76059301198, 985681.6769147515 207158.32720291615, 985694.1745931804 207180.55517683923, 985707.3894617558 207204.2362318337, 985816.3574196696 207144.83772858977))",1513,MN,576,36,70 Fifth Avenue (aka 2-6 West 13th Street),1005760036,"Educational Building, 70 Fifth Avenue",LP-02650,"Borough of Manhattan, Tax Map Block 576, Lot 36",Designated,,5/18/2021,Individual Landmark,,102.0,2.0,40.7353899,-73.9947859,1006300.0,MN0202,626.68654320735,11262.27446108884,Greenwich Village,Flatiron Building,https://en.wikipedia.org/wiki/Flatiron_Building,low,460411.0,51.85185185185186,Commercial Building
"POLYGON ((988607.4538715929 191153.2604598403, 988606.2940970063 191131.62598867714, 988712.3263652623 191126.53052642941, 988712.5704592615 191148.5107974261, 988607.4538715929 191153.2604598403))",1512,BK,146,15,227 Duffield Street,3001460015,Harriet and Thomas Truesdell House,LP-02645,"Borough of Brooklyn, Tax Map Block 146, Lot 15
Borough of Brooklyn Tax Map Block 146, Lot 15",Designated,,2/2/2021,Individual Landmark,,302.0,33.0,40.691308,-73.9841012,3001502.0,BK0202,255.02563144101,2305.75604243351,Downtown Brooklyn-DUMBO-Boerum Hill,List of New York City Designated Landmarks in Brooklyn,https://en.wikipedia.org/wiki/List_of_New_York_City_Designated_Landmarks_in_Brooklyn,low,4577.0,34.09090909090909,Museum
"POLYGON ((983564.3110707551 168198.03209216893, 983439.4704411775 168044.51205800474, 983561.2300401777 167945.99585084617, 983606.935329333 168004.50098317862, 983584.9160164297 168022.8480593413, 983661.791846931 168120.4922210127, 983564.3110707551 168198.03209216893))",1511,BK,5739,1,"6301 12th Avenue (aka 6301-6323 12th Avenue, 1201-1216 63rd Street, 1201-1215 64th Street)",3057390001,Angel Guardian Home,LP-02613,"Borough of Brooklyn Tax Map Block 5739, Lot 1 in part",Designated,,11/10/2020,Individual Landmark,,310.0,43.0,40.6280008,-74.0025146,3019400.0,BK1002,706.23272821543,27165.2377216046,Dyker Heights,Guardian Angels,https://en.wikipedia.org/wiki/Guardian_Angels,low,206113.0,82.35294117647058,Residential Building
